,county,state,county_population,covid_hospital_admissions_per_100k,covid_cases_per_100k,lon,lat
33808,Haines Borough,Alaska,2530.0,4.3,39.53,-135.3430573,59.0831232
33809,Hoonah-Angoon CA,Alaska,2148.0,4.3,325.88,-134.1311512,57.57666
33810,Yakutat Cty&Bor,Alaska,579.0,4.3,325.88,,
33811,Salem County,New Jersey,62385.0,7.6,152.28,-75.3488201,39.5980987
33812,Gloucester County,New Jersey,291636.0,7.6,147.1,-75.1535378,39.7267303
33813,Burlington County,New Jersey,445349.0,7.6,207.25,-74.7226665,39.9325409
33814,Camden County,New Jersey,506471.0,7.6,170.79,-74.968553,39.8014709
33815,Houston County,Alabama,105882.0,2.5,35.89,-85.2654592,31.1355603
33816,Barbour County,Alabama,24686.0,2.5,28.36,-85.4032078,31.8589311
33817,Henry County,Alabama,17205.0,2.5,0.0,-85.2447377,31.4838041
33818,Quitman County,Georgia,2299.0,2.5,43.5,-85.0154412,31.8769847
33819,Geneva County,Alabama,26271.0,2.5,34.26,-85.803014,31.0862933
33820,Coffee County,Alabama,52342.0,2.5,28.66,-85.9870669,31.3629619
33821,Dale County,Alabama,49172.0,2.5,42.71,-85.623763,31.3940969
33822,Johnson County,Georgia,9643.0,0.7,10.37,-82.6374871,32.6938608
33823,Laurens County,Georgia,47546.0,0.7,103.06,-82.9388938,32.4239975
33824,Toombs County,Georgia,26830.0,0.7,33.54,-82.3299928,32.1296839
33825,Treutlen County,Georgia,6901.0,0.7,14.49,-82.5666186,32.396098
33826,Dodge County,Georgia,20605.0,0.7,0.0,-83.1520134,32.1506514
33827,Wheeler County,Georgia,7855.0,0.7,0.0,-82.7567324,32.112996
33828,Montgomery County,Georgia,9172.0,0.7,10.9,-81.1220539,31.9404913
33829,Telfair County,Georgia,15860.0,0.7,50.44,-82.9339377,31.9182328
33830,Fulton County,Indiana,19974.0,5.1,10.01,-86.2875206,41.0421416
33831,Marshall County,Indiana,46258.0,5.1,30.27,-86.2809625,41.322843
33832,Pulaski County,Indiana,12353.0,5.1,16.19,-86.6990692,41.031393
33833,St. Joseph County,Indiana,271826.0,5.1,93.44,-86.2787334,41.5941578
33834,Logan County,Ohio,45672.0,0.0,32.84,-83.7414465,40.4430521
33835,Lee County,Mississippi,85436.0,1.1,63.21,-88.6913264,34.265749
33836,Prentiss County,Mississippi,25126.0,1.1,0.0,-88.5153286,34.6222512
33837,Chickasaw County,Mississippi,17103.0,1.1,17.54,-88.9357382,33.9137474
33838,Itawamba County,Mississippi,23390.0,1.1,4.28,-88.3713687,34.2774018
33839,Monroe County,Mississippi,35252.0,1.1,2.84,-88.4747009,33.8884929
33840,Calhoun County,Mississippi,14361.0,0.0,6.96,-89.3231269,33.9253624
33841,Lafayette County,Mississippi,54019.0,0.0,25.92,-89.4664677,34.3519035
33842,Yalobusha County,Mississippi,12108.0,0.0,107.37,-89.6991703,34.0213455
33843,Furnas County,Nebraska,4676.0,29.3,128.31,-99.8981009,40.1791278
33844,Harlan County,Nebraska,3380.0,29.3,88.76,-99.4349368,40.1617382
33845,Phelps County,Nebraska,9034.0,29.3,66.42,-99.425665,40.5078647
