"Zip","Total Cases","Deaths"
"61529","701","N/A"
"61530","1,698","N/A"
"61531","874","N/A"
"61532","129","N/A"
"61533","569","N/A"
"61534","484","N/A"
"61535","475","N/A"
"61536","776","N/A"
"61537","681","N/A"
"61539","42","N/A"
"61540","652","N/A"
"61541","32","N/A"
"61542","945","N/A"
"61543","21","N/A"
"61544","148","N/A"
"61545","164","N/A"
"61546","1,115","N/A"
"61547","1,040","N/A"
"61548","3,481","N/A"
"61550","5,288","N/A"
"61552","44","N/A"
"61553","59","N/A"
"61554","11,626","N/A"
"61555","36","N/A"
"61559","752","N/A"
"61560","111","N/A"
"61561","713","N/A"
"61562","20","N/A"
"61563","114","N/A"
"61564","297","N/A"
"61565","304","N/A"
"61567","142","N/A"
"61568","1,305","N/A"
"61569","272","N/A"
"61570","456","N/A"
"61571","6,759","N/A"
"61572","250","N/A"
"61601","54","N/A"
"61602","262","N/A"
"61603","4,207","N/A"
"61604","8,248","N/A"
"61605","3,625","N/A"
"61606","1,350","N/A"
"61607","3,014","N/A"
"61610","1,340","N/A"
"61611","6,594","N/A"
"61612","39","N/A"
"61613","8","N/A"
"61614","7,223","N/A"
"61615","6,038","N/A"
"61616","1,669","N/A"
"61625","89","N/A"
"61636","12","N/A"
"61701","9,864","N/A"
"61702","59","N/A"
"61704","10,317","N/A"
"61705","4,314","N/A"
"61720","76","N/A"
"61721","178","N/A"
"61722","144","N/A"
"61723","718","N/A"
"61724","139","N/A"
"61725","450","N/A"
"61726","737","N/A"
"61727","2,631","N/A"
"61728","433","N/A"
"61729","350","N/A"
"61730","97","N/A"
"61731","71","N/A"
"61732","636","N/A"
"61733","317","N/A"
"61734","641","N/A"
"61735","74","N/A"
"61736","689","N/A"
"61737","128","N/A"
"61738","1,263","N/A"
"61739","1,376","N/A"
"61740","461","N/A"
"61741","498","N/A"
"61742","290","N/A"
"61743","71","N/A"
"61744","500","N/A"
"61745","1,353","N/A"
"61747","434","N/A"
"61748","864","N/A"
"61749","140","N/A"
"61750","24","N/A"
"61751","31","N/A"
"61752","1,216","N/A"
"61753","870","N/A"
"61754","322","N/A"
"61755","1,377","N/A"
"61756","553","N/A"
"61759","493","N/A"
"61760","703","N/A"
"61761","16,770","N/A"
"61764","4,433","N/A"
"61769","160","N/A"
"61770","297","N/A"
"61771","206","N/A"
"61772","113","N/A"
"61773","154","N/A"
"61774","233","N/A"
"61775","115","N/A"
"61776","378","N/A"
"61777","226","N/A"
"61778","181","N/A"
"61790","729","N/A"
"61801","7,514","N/A"
"61802","5,967","N/A"
"61803","45","N/A"
"61810","89","N/A"
"61811","228","N/A"
"61812","108","N/A"
"61813","482","N/A"
"61814","467","N/A"
"61815","71","N/A"
"61816","150","N/A"
"61817","957","N/A"
"61818","479","N/A"
"61820","15,627","N/A"
"61821","8,681","N/A"
"61822","7,012","N/A"
"61824","36","N/A"
"61825","8","N/A"
"61826","61","N/A"
"61830","111","N/A"
"61831","47","N/A"
"61832","12,023","N/A"
"61833","756","N/A"
"61834","3,560","N/A"
"61839","115","N/A"
"61840","309","N/A"
"61841","439","N/A"
"61842","896","N/A"
"61843","839","N/A"
"61844","323","N/A"
"61845","102","N/A"
"61846","1,657","N/A"
"61847","480","N/A"
"61848","96","N/A"
"61849","487","N/A"
"61850","164","N/A"
"61851","81","N/A"
"61852","58","N/A"
"61853","4,432","N/A"
"61854","415","N/A"
"61855","40","N/A"
"61856","2,143","N/A"
"61857","66","N/A"
"61858","1,121","N/A"
"61859","385","N/A"
"61862","179","N/A"
"61863","293","N/A"
"61864","611","N/A"
"61865","461","N/A"
"61866","4,963","N/A"
"61870","423","N/A"
"61871","90","N/A"
"61872","181","N/A"
"61873","2,174","N/A"
"61874","2,445","N/A"
"61875","193","N/A"
"61876","250","N/A"
"61877","526","N/A"
"61878","371","N/A"
"61880","1,618","N/A"
"61882","153","N/A"
"61883","1,733","N/A"
"61884","315","N/A"
"61910","1,638","N/A"
"61911","1,009","N/A"
"61912","324","N/A"
"61913","470","N/A"
"61914","520","N/A"
"61917","185","N/A"
"61919","246","N/A"
"61920","6,703","N/A"
"61924","691","N/A"
"61925","268","N/A"
"61928","206","N/A"
"61929","183","N/A"
"61930","188","N/A"
"61931","333","N/A"
"61932","114","N/A"
"61933","309","N/A"
"61936","74","N/A"
"61937","540","N/A"
"61938","7,163","N/A"
"61940","64","N/A"
"61941","21","N/A"
"61942","379","N/A"
"61943","441","N/A"
"61944","3,589","N/A"
"61949","55","N/A"
"61951","2,335","N/A"
"61953","2,199","N/A"
"61955","66","N/A"
"61956","1,011","N/A"
"61957","545","N/A"
"62001","451","N/A"
"62002","8,916","N/A"
"62006","205","N/A"
"62009","458","N/A"
"62010","3,460","N/A"
"62011","92","N/A"
"62012","1,784","N/A"
"62013","155","N/A"
"62014","1,016","N/A"
"62015","144","N/A"
"62016","1,058","N/A"
"62017","297","N/A"
"62018","1,024","N/A"
"62019","98","N/A"
"62021","209","N/A"
"62022","265","N/A"
"62024","2,331","N/A"
"62025","8,631","N/A"
"62026","283","N/A"
"62027","89","N/A"
"62028","179","N/A"
"62030","21","N/A"
"62031","234","N/A"
"62032","225","N/A"
"62033","1,396","N/A"
"62034","3,504","N/A"
"62035","4,797","N/A"
"62036","204","N/A"
"62037","442","N/A"
"62040","10,003","N/A"
"62044","467","N/A"
"62045","140","N/A"
"62046","246","N/A"
"62047","533","N/A"
"62048","317","N/A"
"62049","3,654","N/A"
"62050","115","N/A"
"62051","257","N/A"
"62052","3,962","N/A"
"62053","187","N/A"
"62054","196","N/A"
"62056","2,727","N/A"
"62058","189","N/A"
"62059","102","N/A"
"62060","882","N/A"
"62061","447","N/A"
"62062","2,071","N/A"
"62063","279","N/A"
"62065","30","N/A"
"62067","701","N/A"
"62069","899","N/A"
"62070","12","N/A"
"62074","239","N/A"
"62075","986","N/A"
"62076","23","N/A"
"62077","71","N/A"
"62079","91","N/A"
"62080","722","N/A"
"62081","64","N/A"
"62082","704","N/A"
"62083","68","N/A"
"62084","432","N/A"
"62085","54","N/A"
"62086","355","N/A"
"62087","512","N/A"
"62088","2,011","N/A"
"62089","122","N/A"
"62090","205","N/A"
"62091","96","N/A"
"62092","946","N/A"
"62093","124","N/A"
"62094","268","N/A"
"62095","3,022","N/A"
"62097","708","N/A"
"62201","1,345","N/A"
"62202","34","N/A"
"62203","1,589","N/A"
"62204","1,023","N/A"
"62205","1,567","N/A"
"62206","3,300","N/A"
"62207","1,587","N/A"
"62208","4,266","N/A"
"62214","265","N/A"
"62215","497","N/A"
"62216","1,002","N/A"
"62217","238","N/A"
"62218","449","N/A"
"62219","321","N/A"
"62220","4,971","N/A"
"62221","7,203","N/A"
"62222","45","N/A"
"62223","4,119","N/A"
"62225","819","N/A"
"62226","7,637","N/A"
"62230","2,245","N/A"
"62231","2,334","N/A"
"62232","2,051","N/A"
"62233","2,530","N/A"
"62234","8,147","N/A"
"62236","3,588","N/A"
"62237","739","N/A"
"62238","172","N/A"
"62239","1,156","N/A"
"62240","385","N/A"
"62241","307","N/A"
"62242","361","N/A"
"62243","1,585","N/A"
"62244","241","N/A"
"62245","539","N/A"
"62246","2,588","N/A"
"62248","127","N/A"
"62249","4,551","N/A"
"62250","136","N/A"
"62253","170","N/A"
"62254","1,580","N/A"
"62255","221","N/A"
"62256","27","N/A"
"62257","734","N/A"
"62258","2,648","N/A"
"62259","1,006","N/A"
"62260","1,685","N/A"
"62261","54","N/A"
"62262","489","N/A"
"62263","1,352","N/A"
"62264","827","N/A"
"62265","1,307","N/A"
"62266","67","N/A"
"62268","148","N/A"
"62269","8,836","N/A"
"62271","469","N/A"
"62272","481","N/A"
"62273","91","N/A"
"62274","3,158","N/A"
"62275","857","N/A"
"62277","361","N/A"
"62278","2,246","N/A"
"62279","21","N/A"
"62280","88","N/A"
"62281","884","N/A"
"62282","143","N/A"
"62284","165","N/A"
"62285","1,246","N/A"
"62286","1,809","N/A"
"62288","894","N/A"
"62289","123","N/A"
"62292","203","N/A"
"62293","1,324","N/A"
"62294","4,397","N/A"
"62295","380","N/A"
"62297","101","N/A"
"62298","4,980","N/A"
"62301","11,292","N/A"
"62305","6,163","N/A"
"62306","18","N/A"
"62311","199","N/A"
"62312","698","N/A"
"62313","92","N/A"
"62314","174","N/A"
"62316","211","N/A"
"62319","31","N/A"
"62320","806","N/A"
"62321","991","N/A"
"62323","60","N/A"
"62324","391","N/A"
"62325","130","N/A"
"62326","572","N/A"
"62330","321","N/A"
"62334","36","N/A"
"62336","20","N/A"
"62338","427","N/A"
"62339","310","N/A"
"62340","473","N/A"
"62341","850","N/A"
"62343","205","N/A"
"62344","23","N/A"
"62345","101","N/A"
"62346","58","N/A"
"62347","660","N/A"
"62348","12","N/A"
"62349","199","N/A"
"62351","583","N/A"
"62352","64","N/A"
"62353","2,100","N/A"
"62354","309","N/A"
"62355","206","N/A"
"62356","184","N/A"
"62357","82","N/A"
"62358","134","N/A"
"62359","41","N/A"
"62360","553","N/A"
"62361","114","N/A"
"62362","107","N/A"
"62363","2,113","N/A"
"62365","179","N/A"
"62366","425","N/A"
"62367","267","N/A"
"62370","145","N/A"
"62373","91","N/A"
"62374","57","N/A"
"62375","93","N/A"
"62376","394","N/A"
"62378","196","N/A"
"62379","478","N/A"
"62380","96","N/A"
"62401","6,027","N/A"
"62410","285","N/A"
"62411","1,399","N/A"
"62413","122","N/A"
"62414","534","N/A"
"62417","1,008","N/A"
"62418","627","N/A"
"62419","109","N/A"
"62420","1,428","N/A"
"62421","212","N/A"
"62422","326","N/A"
